time: 1635724961.628184, hand opened
time: 1635724998.458966, hand closed
time: 1635724998.781604, hand opened
time: 1635724999.756906, hand closed
time: 1635724999.925407, hand opened
time: 1635725000.651198, hand closed
time: 1635725000.829298, hand opened
time: 1635725004.914887, hand closed
time: 1635725005.010988, hand opened
time:0,digit:0,change:None
time:0,digit:1,change:None
time:0,digit:2,change:None
time:0,digit:3,change:None
time:0,digit:4,change:None
time:1635999773.913176,digit:0,change:True
time:1635999773.913176,digit:1,change:True
time:1635999773.913176,digit:2,change:True
time:1635999773.913176,digit:3,change:True
time:1635999773.913176,digit:4,change:None
time:1635999774.068007,digit:0,change:None
time:1635999774.068007,digit:1,change:None
time:1635999774.068007,digit:2,change:True
time:1635999774.068007,digit:3,change:None
time:1635999774.068007,digit:4,change:None
time:1635999774.257111,digit:0,change:None
time:1635999774.257111,digit:1,change:None
time:1635999774.257111,digit:2,change:None
time:1635999774.257111,digit:3,change:None
time:1635999774.257111,digit:4,change:None
time:1635999774.3922381,digit:0,change:True
time:1635999774.3922381,digit:1,change:True
time:1635999774.3922381,digit:2,change:True
time:1635999774.3922381,digit:3,change:True
time:1635999774.3922381,digit:4,change:None
time:1635999775.251091,digit:0,change:None
time:1635999775.251091,digit:1,change:None
time:1635999775.251091,digit:2,change:True
time:1635999775.251091,digit:3,change:None
time:1635999775.251091,digit:4,change:None
time:1635999775.401688,digit:0,change:None
time:1635999775.401688,digit:1,change:None
time:1635999775.401688,digit:2,change:None
time:1635999775.401688,digit:3,change:None
time:1635999775.401688,digit:4,change:None
time:1635999776.854356,digit:0,change:None
time:1635999776.854356,digit:1,change:None
time:1635999776.854356,digit:2,change:None
time:1635999776.854356,digit:3,change:True
time:1635999776.854356,digit:4,change:None
time:1635999777.684615,digit:0,change:None
time:1635999777.684615,digit:1,change:None
time:1635999777.684615,digit:2,change:None
time:1635999777.684615,digit:3,change:None
time:1635999777.684615,digit:4,change:None
time:1635999780.585504,digit:0,change:None
time:1635999780.585504,digit:1,change:None
time:1635999780.585504,digit:2,change:None
time:1635999780.585504,digit:3,change:True
time:1635999780.585504,digit:4,change:None
time:1635999783.6101298,digit:0,change:None
time:1635999783.6101298,digit:1,change:None
time:1635999783.6101298,digit:2,change:None
time:1635999783.6101298,digit:3,change:None
time:1635999783.6101298,digit:4,change:None
time:1635999786.3141708,digit:0,change:None
time:1635999786.3141708,digit:1,change:None
time:1635999786.3141708,digit:2,change:None
time:1635999786.3141708,digit:3,change:True
time:1635999786.3141708,digit:4,change:None
time:1635999787.1726909,digit:0,change:None
time:1635999787.1726909,digit:1,change:None
time:1635999787.1726909,digit:2,change:None
time:1635999787.1726909,digit:3,change:None
time:1635999787.1726909,digit:4,change:None
time:1635999788.3376389,digit:0,change:None
time:1635999788.3376389,digit:1,change:None
time:1635999788.3376389,digit:2,change:None
time:1635999788.3376389,digit:3,change:True
time:1635999788.3376389,digit:4,change:None
time:1635999789.306925,digit:0,change:None
time:1635999789.306925,digit:1,change:None
time:1635999789.306925,digit:2,change:None
time:1635999789.306925,digit:3,change:None
time:1635999789.306925,digit:4,change:None
time:1635999790.641031,digit:0,change:None
time:1635999790.641031,digit:1,change:None
time:1635999790.641031,digit:2,change:None
time:1635999790.641031,digit:3,change:True
time:1635999790.641031,digit:4,change:None
time:1635999791.4752991,digit:0,change:None
time:1635999791.4752991,digit:1,change:None
time:1635999791.4752991,digit:2,change:None
time:1635999791.4752991,digit:3,change:None
time:1635999791.4752991,digit:4,change:None
time:1635999792.642866,digit:0,change:None
time:1635999792.642866,digit:1,change:None
time:1635999792.642866,digit:2,change:True
time:1635999792.642866,digit:3,change:None
time:1635999792.642866,digit:4,change:None
time:1635999793.477781,digit:0,change:None
time:1635999793.477781,digit:1,change:None
time:1635999793.477781,digit:2,change:None
time:1635999793.477781,digit:3,change:None
time:1635999793.477781,digit:4,change:None
time:1635999794.3068721,digit:0,change:None
time:1635999794.3068721,digit:1,change:None
time:1635999794.3068721,digit:2,change:True
time:1635999794.3068721,digit:3,change:None
time:1635999794.3068721,digit:4,change:None
time:1635999796.204879,digit:0,change:None
time:1635999796.204879,digit:1,change:None
time:1635999796.204879,digit:2,change:None
time:1635999796.204879,digit:3,change:None
time:1635999796.204879,digit:4,change:None
time:1635999797.302549,digit:0,change:None
time:1635999797.302549,digit:1,change:None
time:1635999797.302549,digit:2,change:True
time:1635999797.302549,digit:3,change:None
time:1635999797.302549,digit:4,change:None
time:1635999798.811275,digit:0,change:None
time:1635999798.811275,digit:1,change:None
time:1635999798.811275,digit:2,change:None
time:1635999798.811275,digit:3,change:None
time:1635999798.811275,digit:4,change:None
time:1635999800.631707,digit:0,change:None
time:1635999800.631707,digit:1,change:None
time:1635999800.631707,digit:2,change:True
time:1635999800.631707,digit:3,change:None
time:1635999800.631707,digit:4,change:None
time:1635999802.7661881,digit:0,change:None
time:1635999802.7661881,digit:1,change:None
time:1635999802.7661881,digit:2,change:None
time:1635999802.7661881,digit:3,change:None
time:1635999802.7661881,digit:4,change:None
time:1635999804.807787,digit:0,change:None
time:1635999804.807787,digit:1,change:None
time:1635999804.807787,digit:2,change:True
time:1635999804.807787,digit:3,change:None
time:1635999804.807787,digit:4,change:None
time:1635999807.36413,digit:0,change:None
time:1635999807.36413,digit:1,change:None
time:1635999807.36413,digit:2,change:None
time:1635999807.36413,digit:3,change:None
time:1635999807.36413,digit:4,change:None
time:1635999807.867729,digit:0,change:None
time:1635999807.867729,digit:1,change:True
time:1635999807.867729,digit:2,change:None
time:1635999807.867729,digit:3,change:None
time:1635999807.867729,digit:4,change:None
time:1635999810.367475,digit:0,change:None
time:1635999810.367475,digit:1,change:None
time:1635999810.367475,digit:2,change:None
time:1635999810.367475,digit:3,change:None
time:1635999810.367475,digit:4,change:None
time:1635999811.265972,digit:0,change:None
time:1635999811.265972,digit:1,change:True
time:1635999811.265972,digit:2,change:None
time:1635999811.265972,digit:3,change:None
time:1635999811.265972,digit:4,change:None
time:1635999813.5033321,digit:0,change:None
time:1635999813.5033321,digit:1,change:None
time:1635999813.5033321,digit:2,change:None
time:1635999813.5033321,digit:3,change:None
time:1635999813.5033321,digit:4,change:None
time:1635999813.8064861,digit:0,change:True
time:1635999813.8064861,digit:1,change:None
time:1635999813.8064861,digit:2,change:None
time:1635999813.8064861,digit:3,change:None
time:1635999813.8064861,digit:4,change:None
time:1635999815.530389,digit:0,change:None
time:1635999815.530389,digit:1,change:None
time:1635999815.530389,digit:2,change:None
time:1635999815.530389,digit:3,change:None
time:1635999815.530389,digit:4,change:None
time:1635999816.371779,digit:0,change:True
time:1635999816.371779,digit:1,change:None
time:1635999816.371779,digit:2,change:None
time:1635999816.371779,digit:3,change:None
time:1635999816.371779,digit:4,change:None
time:1635999817.234655,digit:0,change:None
